Account id, balance
123, 4000
321, 5000
432, 2000
124, 617
566, 431
317, 223
421, 571
374, 700
462, 571
580, 484
962, 817
914, 994
287, 212
452, 204
374, 850
927, 617
577, 706
917, 698
195, 924
972, 555
400, 86
534, 309
683, 867
179, 313
894, 898
18, 42
804, 353
87, 712
363, 995
470, 925
669, 45
446, 261
941, 297
816, 135
806, 493
519, 410
527, 939
537, 878
427, 366
411, 121
742, 206
988, 610
561, 608
568, 949
646, 957
228, 931
343, 444
713, 758
209, 143
545, 638
158, 951
903, 387
272, 949
731, 903
889, 286
139, 703
151, 842
389, 630
901, 714
48, 574
229, 827
971, 828
562, 299
189, 630
729, 879
883, 188
407, 238
145, 553
221, 870
560, 908
913, 697
525, 607
31, 347
937, 323
708, 163
237, 222
507, 788
230, 202
112, 303
94, 339
113, 222
307, 877
437, 527
953, 680
812, 211
770, 921
463, 106
422, 582
129, 709
414, 533
386, 368
417, 897
204, 842
418, 43
550, 754
81, 337
6, 168
821, 693
43, 397
859, 773
361, 719
624, 170
614, 117
